Customer_Purchase_History,Sales_Level,Purchase_Number,Salary,Marketing_Time,Alternative,Discount,Marketing_Channel,Brand_Review,Awareness
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.85,0.87,4,2730,3,0,0,Mail,medium,1
0.1,0.78,5,2850,2.5,1,0,Mail,medium,1
0.43,0.49,2,1310,2,0,0,Mail,high,1
0.2,0.5,5,1350,3.5,0,0,Mail,low,1
0.81,0.92,5,2390,3,0,0,Mail,medium,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.89,0.82,5,2240,3.5,0,0,Mail,low,1
0.89,1,4,2600,3,0,0,Mail,low,1
0.11,0.78,6,3000,2.5,1,0,Mail,low,1
0.43,0.56,2,1330,2,0,0,Mail,low,1
0.09,0.93,6,3080,2.5,0,0,Mail,low,1
0.11,0.55,2,1370,2,1,0,Mail,low,1
0.36,0.5,2,1580,2,0,0,Mail,low,1
0.1,0.79,6,2490,2.5,0,0,Mail,low,1
0.74,0.89,5,2590,3,0,0,Mail,low,1
0.4,0.46,2,1440,2,0,0,Mail,low,1
0.34,0.97,6,1570,3,1,0,Mail,low,1
0.87,0.83,5,2670,3,0,0,Mail,low,1
0.11,0.91,6,3020,2.5,0,0,Mail,low,1
0.47,0.81,4,1330,2,0,0,Mail,low,1
0.43,0.52,2,1420,2,0,0,Mail,low,1
0.76,0.95,4,2590,3,0,0,Mail,low,1
0.42,0.56,2,1460,2,0,0,Mail,low,1
0.75,1,4,2430,3,0,0,Mail,low,1
0.1,0.9,6,2720,3,0,0,Mail,low,1
0.41,0.52,2,1320,2,0,0,Mail,low,1
0.72,1,2,2400,1.5,0,0,Mail,low,1
0.44,0.55,2,1370,2,0,0,Mail,low,1
0.38,0.5,2,1390,2,0,0,Mail,low,1
0.46,0.52,2,1480,2,0,0,Mail,low,1
0.41,0.52,2,1320,2,0,0,Mail,low,1
0.11,0.89,6,2840,2.5,0,0,Mail,low,1
0.74,0.99,5,2630,3,0,0,Mail,low,1
0.42,0.46,2,1430,2,0,0,Mail,low,1
0.88,0.88,4,2650,3,0,0,Mail,low,1
0.37,0.53,2,1470,2,0,0,Mail,low,1
0.73,0.87,5,2520,3,0,0,Mail,low,1
0.37,0.57,2,1570,2,0,0,Mail,low,1
0.11,0.89,6,2500,2.5,0,0,Mail,low,1
0.46,0.52,2,1310,2,0,0,Mail,low,1
0.41,0.5,2,1490,2,0,0,Mail,low,1
0.78,0.78,4,2600,3,0,0,Mail,low,1
0.1,0.82,7,2650,2.5,0,0,Mail,low,1
0.42,0.48,2,1480,2,1,0,Mail,low,1
0.74,0.86,5,2620,3,0,0,Mail,low,1
0.1,0.8,6,2610,2.5,0,0,Mail,low,1
0.82,0.9,5,2480,3,0,0,Mail,low,1
0.83,0.94,5,2730,3,0,0,Mail,medium,1
0.41,0.51,2,1440,2,0,0,Mail,low,1
0.11,0.93,7,2960,2.5,0,0,Mail,low,1
0.68,0.62,5,1980,3,1,0,Mail,low,1
0.43,0.53,2,1570,2,0,0,Mail,low,1
0.09,0.93,6,2550,2.5,0,0,Mail,medium,1
0.1,0.81,7,2700,2.5,0,0,Mail,medium,1
0.39,0.54,2,1490,2,0,0,Mail,low,1
0.75,0.89,5,2760,3,0,0,Mail,low,1
0.43,0.55,2,1590,2,0,0,Mail,low,1
0.11,0.9,7,2450,2.5,0,0,Mail,medium,1
0.1,0.95,6,2640,3,0,0,Mail,medium,1
0.91,1,4,2450,3.5,0,0,Mail,medium,1
0.44,0.52,2,1370,2,0,0,Mail,medium,1
0.63,0.76,2,1570,2.5,0,0,Mail,low,1
0.1,0.95,5,2860,2.5,0,0,Mail,high,1
0.3,0.89,5,2570,3,0,0,Mail,low,1
0.1,0.93,6,2580,2.5,0,0,Mail,medium,1
0.39,0.5,2,1510,2,0,0,Mail,medium,1
0.14,0.47,4,1750,1.5,0,0,Mail,medium,1
0.85,0.87,4,2730,3,0,0,Mail,medium,1
0.1,0.78,5,2850,2.5,1,0,Mail,medium,1
0.43,0.49,2,1310,2,0,0,Mail,high,1
0.2,0.5,5,1350,3.5,0,0,Mail,low,1
0.81,0.92,5,2390,3,0,0,Mail,medium,1
0.92,0.82,5,2650,3,0,0,Mail,medium,1
0.1,0.79,6,3010,3,0,0,Mail,medium,1
0.76,1,4,2200,3.5,0,0,Mail,medium,1
0.11,0.79,6,2470,2.5,0,0,Mail,medium,1
0.43,0.48,2,1360,2,0,0,Mail,high,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.85,0.87,4,2730,3,0,0,Mail,medium,1
0.1,0.78,5,2850,2.5,1,0,Mail,medium,1
0.43,0.49,2,1310,2,0,0,Mail,high,1
0.2,0.5,5,1350,3.5,0,0,Mail,low,1
0.81,0.92,5,2390,3,0,0,Mail,medium,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.89,0.82,5,2240,3.5,0,0,Mail,low,1
0.89,1,4,2600,3,0,0,Mail,low,1
0.11,0.78,6,3000,2.5,1,0,Mail,low,1
0.43,0.56,2,1330,2,0,0,Mail,low,1
0.09,0.93,6,3080,2.5,0,0,Mail,low,1
0.11,0.55,2,1370,2,1,0,Mail,low,1
0.36,0.5,2,1580,2,0,0,Mail,low,1
0.1,0.79,6,2490,2.5,0,0,Mail,low,1
0.74,0.89,5,2590,3,0,0,Mail,low,1
0.4,0.46,2,1440,2,0,0,Mail,low,1
0.34,0.97,6,1570,3,1,0,Mail,low,1
0.87,0.83,5,2670,3,0,0,Mail,low,1
0.11,0.91,6,3020,2.5,0,0,Mail,low,1
0.47,0.81,4,1330,2,0,0,Mail,low,1
0.43,0.52,2,1420,2,0,0,Mail,low,1
0.76,0.95,4,2590,3,0,0,Mail,low,1
0.42,0.56,2,1460,2,0,0,Mail,low,1
0.75,1,4,2430,3,0,0,Mail,low,1
0.1,0.9,6,2720,3,0,0,Mail,low,1
0.41,0.52,2,1320,2,0,0,Mail,low,1
0.72,1,2,2400,1.5,0,0,Mail,low,1
0.44,0.55,2,1370,2,0,0,Mail,low,1
0.38,0.5,2,1390,2,0,0,Mail,low,1
0.46,0.52,2,1480,2,0,0,Mail,low,1
0.41,0.52,2,1320,2,0,0,Mail,low,1
0.11,0.89,6,2840,2.5,0,0,Mail,low,1
0.74,0.99,5,2630,3,0,0,Mail,low,1
0.42,0.46,2,1430,2,0,0,Mail,low,1
0.88,0.88,4,2650,3,0,0,Mail,low,1
0.37,0.53,2,1470,2,0,0,Mail,low,1
0.73,0.87,5,2520,3,0,0,Mail,low,1
0.37,0.57,2,1570,2,0,0,Mail,low,1
0.11,0.89,6,2500,2.5,0,0,Mail,low,1
0.46,0.52,2,1310,2,0,0,Mail,low,1
0.41,0.5,2,1490,2,0,0,Mail,low,1
0.78,0.78,4,2600,3,0,0,Mail,low,1
0.1,0.82,7,2650,2.5,0,0,Mail,low,1
0.42,0.48,2,1480,2,1,0,Mail,low,1
0.74,0.86,5,2620,3,0,0,Mail,low,1
0.1,0.8,6,2610,2.5,0,0,Mail,low,1
0.82,0.9,5,2480,3,0,0,Mail,low,1
0.83,0.94,5,2730,3,0,0,Mail,medium,1
0.41,0.51,2,1440,2,0,0,Mail,low,1
0.11,0.93,7,2960,2.5,0,0,Mail,low,1
0.68,0.62,5,1980,3,1,0,Mail,low,1
0.43,0.53,2,1570,2,0,0,Mail,low,1
0.09,0.93,6,2550,2.5,0,0,Mail,medium,1
0.1,0.81,7,2700,2.5,0,0,Mail,medium,1
0.39,0.54,2,1490,2,0,0,Mail,low,1
0.75,0.89,5,2760,3,0,0,Mail,low,1
0.43,0.55,2,1590,2,0,0,Mail,low,1
0.11,0.9,7,2450,2.5,0,0,Mail,medium,1
0.1,0.95,6,2640,3,0,0,Mail,medium,1
0.91,1,4,2450,3.5,0,0,Mail,medium,1
0.44,0.52,2,1370,2,0,0,Mail,medium,1
0.63,0.76,2,1570,2.5,0,0,Mail,low,1
0.1,0.95,5,2860,2.5,0,0,Mail,high,1
0.3,0.89,5,2570,3,0,0,Mail,low,1
0.1,0.93,6,2580,2.5,0,0,Mail,medium,1
0.39,0.5,2,1510,2,0,0,Mail,medium,1
0.14,0.47,4,1750,1.5,0,0,Mail,medium,1
0.85,0.87,4,2730,3,0,0,Mail,medium,1
0.1,0.78,5,2850,2.5,1,0,Mail,medium,1
0.43,0.49,2,1310,2,0,0,Mail,high,1
0.2,0.5,5,1350,3.5,0,0,Mail,low,1
0.81,0.92,5,2390,3,0,0,Mail,medium,1
0.92,0.82,5,2650,3,0,0,Mail,medium,1
0.1,0.79,6,3010,3,0,0,Mail,medium,1
0.76,1,4,2200,3.5,0,0,Mail,medium,1
0.11,0.79,6,2470,2.5,0,0,Mail,medium,1
0.43,0.48,2,1360,2,0,0,Mail,high,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.85,0.87,4,2730,3,0,0,Mail,medium,1
0.1,0.78,5,2850,2.5,1,0,Mail,medium,1
0.43,0.49,2,1310,2,0,0,Mail,high,1
0.2,0.5,5,1350,3.5,0,0,Mail,low,1
0.81,0.92,5,2390,3,0,0,Mail,medium,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.89,0.82,5,2240,3.5,0,0,Mail,low,1
0.89,1,4,2600,3,0,0,Mail,low,1
0.11,0.78,6,3000,2.5,1,0,Mail,low,1
0.43,0.56,2,1330,2,0,0,Mail,low,1
0.09,0.93,6,3080,2.5,0,0,Mail,low,1
0.11,0.55,2,1370,2,1,0,Mail,low,1
0.36,0.5,2,1580,2,0,0,Mail,low,1
0.1,0.79,6,2490,2.5,0,0,Mail,low,1
0.74,0.89,5,2590,3,0,0,Mail,low,1
0.4,0.46,2,1440,2,0,0,Mail,low,1
0.34,0.97,6,1570,3,1,0,Mail,low,1
0.87,0.83,5,2670,3,0,0,Mail,low,1
0.11,0.91,6,3020,2.5,0,0,Mail,low,1
0.47,0.81,4,1330,2,0,0,Mail,low,1
0.43,0.52,2,1420,2,0,0,Mail,low,1
0.76,0.95,4,2590,3,0,0,Mail,low,1
0.42,0.56,2,1460,2,0,0,Mail,low,1
0.75,1,4,2430,3,0,0,Mail,low,1
0.1,0.9,6,2720,3,0,0,Mail,low,1
0.41,0.52,2,1320,2,0,0,Mail,low,1
0.72,1,2,2400,1.5,0,0,Mail,low,1
0.44,0.55,2,1370,2,0,0,Mail,low,1
0.38,0.5,2,1390,2,0,0,Mail,low,1
0.46,0.52,2,1480,2,0,0,Mail,low,1
0.41,0.52,2,1320,2,0,0,Mail,low,1
0.11,0.89,6,2840,2.5,0,0,Mail,low,1
0.74,0.99,5,2630,3,0,0,Mail,low,1
0.42,0.46,2,1430,2,0,0,Mail,low,1
0.88,0.88,4,2650,3,0,0,Mail,low,1
0.37,0.53,2,1470,2,0,0,Mail,low,1
0.73,0.87,5,2520,3,0,0,Mail,low,1
0.37,0.57,2,1570,2,0,0,Mail,low,1
0.11,0.89,6,2500,2.5,0,0,Mail,low,1
0.46,0.52,2,1310,2,0,0,Mail,low,1
0.41,0.5,2,1490,2,0,0,Mail,low,1
0.78,0.78,4,2600,3,0,0,Mail,low,1
0.1,0.82,7,2650,2.5,0,0,Mail,low,1
0.42,0.48,2,1480,2,1,0,Mail,low,1
0.74,0.86,5,2620,3,0,0,Mail,low,1
0.1,0.8,6,2610,2.5,0,0,Mail,low,1
0.82,0.9,5,2480,3,0,0,Mail,low,1
0.83,0.94,5,2730,3,0,0,Mail,medium,1
0.41,0.51,2,1440,2,0,0,Mail,low,1
0.11,0.93,7,2960,2.5,0,0,Mail,low,1
0.68,0.62,5,1980,3,1,0,Mail,low,1
0.43,0.53,2,1570,2,0,0,Mail,low,1
0.09,0.93,6,2550,2.5,0,0,Mail,medium,1
0.1,0.81,7,2700,2.5,0,0,Mail,medium,1
0.39,0.54,2,1490,2,0,0,Mail,low,1
0.75,0.89,5,2760,3,0,0,Mail,low,1
0.43,0.55,2,1590,2,0,0,Mail,low,1
0.11,0.9,7,2450,2.5,0,0,Mail,medium,1
0.1,0.95,6,2640,3,0,0,Mail,medium,1
0.91,1,4,2450,3.5,0,0,Mail,medium,1
0.44,0.52,2,1370,2,0,0,Mail,medium,1
0.63,0.76,2,1570,2.5,0,0,Mail,low,1
0.1,0.95,5,2860,2.5,0,0,Mail,high,1
0.3,0.89,5,2570,3,0,0,Mail,low,1
0.1,0.93,6,2580,2.5,0,0,Mail,medium,1
0.39,0.5,2,1510,2,0,0,Mail,medium,1
0.14,0.47,4,1750,1.5,0,0,Mail,medium,1
0.85,0.87,4,2730,3,0,0,Mail,medium,1
0.1,0.78,5,2850,2.5,1,0,Mail,medium,1
0.43,0.49,2,1310,2,0,0,Mail,high,1
0.2,0.5,5,1350,3.5,0,0,Mail,low,1
0.81,0.92,5,2390,3,0,0,Mail,medium,1
0.92,0.82,5,2650,3,0,0,Mail,medium,1
0.1,0.79,6,3010,3,0,0,Mail,medium,1
0.76,1,4,2200,3.5,0,0,Mail,medium,1
0.11,0.79,6,2470,2.5,0,0,Mail,medium,1
0.43,0.48,2,1360,2,0,0,Mail,high,1
0.12,1,3,2780,2.5,0,0,Mail,medium,1
0.1,0.77,7,2500,3,0,0,Mail,medium,1
0.37,0.55,2,1270,2,0,0,Mail,medium,1
0.89,0.87,5,2550,3,0,0,Mail,medium,1
0.45,0.47,2,1350,2,0,0,Mail,medium,1
0.37,0.54,2,1450,2,0,0,Mail,medium,1
0.09,0.97,7,2540,2.5,1,0,Mail,medium,1
0.44,0.53,2,1270,2,0,0,Mail,medium,1
0.86,0.93,5,2230,3,0,0,Mail,medium,1
0.77,1,4,2550,3,0,0,Mail,medium,1
0.86,0.92,5,2520,3,0,0,Mail,low,1
0.38,0.56,2,1610,2,0,0,Mail,medium,1
0.11,0.88,5,2500,2.5,0,0,Mail,medium,1
0.45,0.49,2,1340,2,0,0,Mail,medium,1
0.1,0.85,7,2790,2.5,0,0,Mail,medium,1
0.85,0.91,5,2260,3,0,0,Social Media,medium,1
0.11,0.93,7,3080,2.5,0,0,Social Media,medium,1
0.1,0.95,6,2440,3,0,0,Social Media,medium,1
0.36,0.56,2,1320,2,0,0,Social Media,medium,1
0.11,0.94,6,2860,2.5,0,0,Social Media,medium,1
0.81,0.7,6,1610,2.5,0,0,Social Media,medium,1
0.74,0.99,2,2770,2,0,0,Social Media,medium,1
0.79,0.59,4,1390,2,0,1,Social Media,low,1
0.42,0.48,2,1290,2,0,0,Social Media,low,1
0.74,1,4,2490,3,0,0,Social Media,low,1
0.73,0.87,5,2570,3,0,0,Social Media,low,1
0.09,0.96,6,2450,2.5,0,0,Social Media,low,1
0.45,0.53,2,1550,2,0,0,Social Media,low,1
0.11,0.8,6,2560,2.5,0,0,Social Media,low,1
0.11,0.87,6,3060,2.5,0,0,Social Media,low,1
0.39,0.5,2,1360,2,0,0,Social Media,low,1
0.45,0.46,2,1530,2,0,0,Social Media,low,1
0.4,0.53,2,1510,2,0,0,Social Media,low,1
0.36,0.51,2,1550,2,0,0,Social Media,low,1
0.36,0.48,2,1580,2,0,0,Social Media,low,1
0.9,0.98,5,2450,3,0,0,Social Media,low,1
0.43,0.53,2,1310,2,0,0,Social Media,low,1
0.87,0.9,5,2520,3,0,0,Social Media,low,1
0.83,0.85,4,2550,3,0,0,Social Media,low,1
0.4,0.46,2,1280,2,0,0,Social Media,low,1
0.87,0.84,5,2310,3,0,0,Social Media,low,1
0.41,0.49,2,1460,2,0,0,Social Media,low,1
0.11,0.91,6,3080,2.5,1,0,Social Media,low,1
0.1,0.93,6,2530,2.5,0,0,Social Media,medium,1
0.38,0.51,2,1460,2,0,0,Social Media,medium,1
0.45,0.55,2,1510,2,0,0,Social Media,medium,1
